,daily_return
2005-11-30,0.026195257654773707
2005-12-01,0.020581804300991036
2005-12-02,-0.0022631003475692872
2005-12-05,-0.010478710714434965
2005-12-06,-0.00296005988828342
2005-12-07,0.004897755045622214
2005-12-08,-0.0003908358420864703
2005-12-09,0.0074555199438566325
2005-12-12,0.00038274486138608797
2005-12-13,-0.006749231944586825
2005-12-14,0.008230579965292494
2005-12-15,-0.006938073199582496
2005-12-16,-0.002938112478709271
2005-12-19,-0.016170417893909803
2005-12-20,0.0066062168612947125
2005-12-21,0.009291492382981199
2005-12-22,0.014006693445581177
2005-12-23,0.005743979617984911
2005-12-27,-0.009194766178726128
2005-12-28,0.009190895330942661
2005-12-29,-0.0069015814857869215
2005-12-30,-0.007148226025406381
2006-01-03,0.020566958158309525
2006-01-04,0.01783708912887379
2006-01-05,0.009260915291995277
2006-01-06,0.024326983820901378
2006-01-09,0.012646655301431001
2006-01-10,0.0091709657336905
2006-01-11,0.0040034817490622685
2006-01-12,-0.007063721667481918
2006-01-13,-0.0011946720439619954
2006-01-17,-0.004597026563687549
2006-01-18,-0.0017407054606843311
2006-01-19,0.018317978929815945
2006-01-20,-0.026070202999648524
2006-01-23,0.004193228615516468
2006-01-24,0.014345736174520604
2006-01-25,-0.0038110524053817955
2006-01-26,0.026007832463031864
2006-01-27,0.008372574501965976
2006-01-30,-0.00127512985085406
2006-01-31,0.002702073687303154
2006-02-01,0.015499127304315505
2006-02-02,-0.015223735256478813
2006-02-03,-0.006560045835749156
2006-02-06,0.007295923168694801
2006-02-07,-0.006915405180757026
2006-02-08,0.02647932389192384
2006-02-09,0.010564790699263497
2006-02-10,0.003497529236172415
2006-02-13,-0.005863112132598227
2006-02-14,0.007393049720001034
2006-02-15,0.009380936983596131
2006-02-16,0.016729494838176897
2006-02-17,-0.002758739439240352
2006-02-21,-0.007100870207302747
2006-02-22,0.015311686579586205
2006-02-23,0.0019892098205939106
2006-02-24,0.002281364553941538
2006-02-27,0.009299152586482133
2006-02-28,-0.003891217682126047
2006-03-01,0.032115882538665465
2006-03-02,-0.000446230777866047
2006-03-03,-0.001102649153633916
2006-03-06,-0.002041086706435977
2006-03-07,0.005912622679711611
2006-03-08,-0.0018620795900854993
2006-03-09,-0.0014137717800715125
2006-03-10,0.004619130161197819
2006-03-13,-0.0001693400321226882
2006-03-14,0.005803648617905956
2006-03-15,0.02143611277239844
2006-03-16,0.015531745428245966
2006-03-17,0.006489183914699358
2006-03-20,0.008243471754434172
2006-03-21,-0.007138678075938267
2006-03-22,0.02474965587492401
2006-03-23,-0.011858382330249469
2006-03-24,0.001033323028266613
2006-03-27,0.0037014551849423576
2006-03-28,-0.016464551662818825
2006-03-29,0.011044134759033673
2006-03-30,0.00406798889338551
2006-03-31,-0.006845696871444471
2006-04-03,0.005787786583099668
2006-04-04,0.00237331075825016
2006-04-05,0.00291149876796141
2006-04-06,-0.0009038968937936812
2006-04-07,-0.008051341553607743
2006-04-10,-0.008228491143053376
2006-04-11,-0.0075407402176505866
2006-04-12,0.010594951156006479
2006-04-13,0.0023849485082869486
2006-04-17,-0.006400255311812823
2006-04-18,0.028078850373543043
2006-04-19,0.009606518607363062
2006-04-20,-0.005286660504855552
2006-04-21,-0.0037202734224216754
2006-04-24,-0.004285114906832406
2006-04-25,0.004496568760390708
2006-04-26,-0.0050206181563072425
2006-04-27,0.010700664912561275
2006-04-28,-0.0036889550572939073
2006-05-01,-0.006414278934283971
2006-05-02,0.010278288434638816
2006-05-03,0.010053052168568524
2006-05-04,0.01391492668794523
2006-05-05,0.0018866846555338958
2006-05-08,0.001038317248989443
2006-05-09,-0.002436384270116365
2006-05-10,-0.01684924750084056
2006-05-11,-0.0388214264612771
2006-05-12,-0.007848420005776145
2006-05-15,-0.015693516365496558
2006-05-16,-0.011323354367245506
2006-05-17,-0.014454901804726318
2006-05-18,-0.008683309750615374
2006-05-19,0.006953559026126414
2006-05-22,-0.014885262835720748
2006-05-23,-0.013405910058724381
2006-05-24,-0.0030654141916400877
2006-05-25,0.021489863904778396
2006-05-26,0.007527158441946513
2006-05-30,-0.02168025232867929
2006-05-31,0.01286581487412124
2006-06-01,0.026251056759430486
2006-06-02,-0.0063922240332081074
2006-06-05,-0.023691222613552786
2006-06-06,-0.0032954332328995
2006-06-07,-0.015615247217817992
2006-06-08,-0.008116001475410596
2006-06-09,-0.00831248491669119
2006-06-12,-0.027697909753775063
2006-06-13,-0.01641151379848678
2006-06-14,0.01217145629617239
2006-06-15,0.03645905564958088
2006-06-16,-0.004999533428417782
2006-06-19,-0.010089556512992509
2006-06-20,-0.0017072386311203617
2006-06-21,0.024002870030820224
2006-06-22,-0.0028153043461805888
2006-06-23,-0.002619144259114455
2006-06-26,0.005597965804881855
2006-06-27,-0.022439068968661057
2006-06-28,0.0035983522337218613
2006-06-29,0.03262590163561831
2006-06-30,0.008768953826938305
2006-07-03,0.011842745106890172
2006-07-05,-0.022600105479449812
2006-07-06,-0.0005833459493472157
2006-07-07,-0.017668145252455785
2006-07-10,-0.009773176416238307
2006-07-11,0.007567457963665481
2006-07-12,-0.019033204030638733
2006-07-13,-0.019449635707434628
2006-07-14,-0.007767578555303856
2006-07-17,-0.004792092786089187
2006-07-18,0.0013309009042514783
2006-07-19,0.025631125170387323
2006-07-20,-0.020036993535027546
2006-07-21,-0.017986204958959407
2006-07-24,0.026451155700527633
2006-07-25,0.005193294695721683
2006-07-26,0.009942846796958085
2006-07-27,-0.015537308323335225
2006-07-28,0.017737732955611884
2006-07-31,-0.002379750946299277
