,daily_return
2005-11-30,0.03297831319078084
2005-12-01,0.0276452646948988
2005-12-02,-0.00999416010525655
2005-12-05,-0.0077999078099428585
2005-12-06,0.006313516032772716
2005-12-07,-0.009875020290682568
2005-12-08,0.008904722835354586
2005-12-09,0.005613991702272279
2005-12-12,0.0037082619960021627
2005-12-13,-0.005553341053082388
2005-12-14,-0.005159258380210989
2005-12-15,-0.0178151066758296
2005-12-16,-0.002580772812380258
2005-12-19,-0.011748827711250716
2005-12-20,-0.008298336332573191
2005-12-21,0.012254312136031483
2005-12-22,0.017842017591362076
2005-12-23,0.0016512746640234936
2005-12-27,-0.011573522360983482
2005-12-28,0.007852457663007769
2005-12-29,-0.0006568509753532902
2005-12-30,-0.007598079701633661
2006-01-03,0.018598928825217506
2006-01-04,0.018237276816035576
2006-01-05,0.007787630290455041
2006-01-06,0.026331917280685516
2006-01-09,0.017577119464136197
2006-01-10,0.01653738790771749
2006-01-11,0.01331892331419037
2006-01-12,-0.011761885936581703
2006-01-13,0.003080083850902726
2006-01-17,0.0016951681452062792
2006-01-18,0.0017830870127937444
2006-01-19,0.014472273429332758
2006-01-20,-0.02668176000504792
2006-01-23,0.002201280209430832
2006-01-24,0.02108349081943592
2006-01-25,0.00013925260972822242
2006-01-26,-0.0005146089724893583
2006-01-27,-0.004789828218924196
2006-01-30,0.002309432793652177
2006-01-31,0.00313598861882547
2006-02-01,0.004412957105659764
2006-02-02,-0.027040685946147034
2006-02-03,-0.01675170747944232
2006-02-06,0.006641444962124481
2006-02-07,-0.018360200462324443
2006-02-08,0.023694557646212904
2006-02-09,-0.010787972150734449
2006-02-10,-0.0014505784513804269
2006-02-13,-0.010873568442929069
2006-02-14,0.0067051754506637085
2006-02-15,0.007078432690758734
2006-02-16,0.015064525971550998
2006-02-17,0.0006581429613738818
2006-02-21,-0.009185091310225614
2006-02-22,0.006786506757686008
2006-02-23,0.0007612753149863825
2006-02-24,-0.00208057248534783
2006-02-27,0.00605282025677308
2006-02-28,-0.0064584465421187644
2006-03-01,0.04121928247056553
2006-03-02,0.0004664747274965408
2006-03-03,0.007916762553259956
2006-03-06,-0.018371850927290493
2006-03-07,-0.01621054027267962
2006-03-08,-0.0018487087751126367
2006-03-09,-0.003375727188674305
2006-03-10,9.724544822241484e-06
2006-03-13,0.002173257892037778
2006-03-14,0.01761550998393916
2006-03-15,0.00964074559437197
2006-03-16,-0.015819803477228417
2006-03-17,-0.004314518649736679
2006-03-20,0.0007579557136251918
2006-03-21,-0.015067473977106241
2006-03-22,0.00361465592397869
2006-03-23,0.009173607607912899
2006-03-24,0.006403216523582865
2006-03-27,0.001263435895104773
2006-03-28,-0.005295129953466078
2006-03-29,0.01848743477954956
2006-03-30,0.0015126643541365048
2006-03-31,-0.0029738883140048755
2006-04-03,0.0009327135963477762
2006-04-04,-0.0021836559843628088
2006-04-05,0.011217676058467175
2006-04-06,0.003838967628563973
2006-04-07,-0.0020429614146648756
2006-04-10,-0.00042993957577843497
2006-04-11,-0.01623769732007379
2006-04-12,0.004231356817561614
2006-04-13,0.0004452131794917257
2006-04-17,-0.013920111410577684
2006-04-18,0.029454066904174313
2006-04-19,0.008916669107251151
2006-04-20,-0.003956896472280688
2006-04-21,-0.00015857025010243488
2006-04-24,-0.0070080518427417995
2006-04-25,-0.000670777595418893
2006-04-26,0.002768836329974062
2006-04-27,0.003306899920278281
2006-04-28,-0.000605293762614366
2006-05-01,-0.013747333544365628
2006-05-02,0.0050803523824455125
2006-05-03,0.005154393580244568
2006-05-04,0.01082050085070672
2006-05-05,0.005585569884558236
2006-05-08,-0.004133709809033585
2006-05-09,-0.003253397719789979
2006-05-10,-0.013419427199047616
2006-05-11,-0.03435684096530707
2006-05-12,-0.017884009996497148
2006-05-15,-0.007947209627207007
2006-05-16,-0.0109516456780101
2006-05-17,-0.020500537297454005
2006-05-18,-0.016134548864569758
2006-05-19,0.01605368278226061
2006-05-22,-0.015248391732794245
2006-05-23,-0.010158284312555794
2006-05-24,0.010017724966583794
2006-05-25,0.023409953765937786
2006-05-26,0.0042047165316103615
2006-05-30,-0.027941390207599927
2006-05-31,0.006827595757476827
2006-06-01,0.038451517152206044
2006-06-02,-0.013818861632753218
2006-06-05,-0.032048460550560036
2006-06-06,-0.004065807955544314
2006-06-07,-0.010253515108494371
2006-06-08,-0.00839302777245309
2006-06-09,-0.003814951989996643
2006-06-12,-0.024755651197294226
2006-06-13,-0.01311329531102186
2006-06-14,0.009045225499355655
2006-06-15,0.04642693166686281
2006-06-16,-0.010701252511755929
2006-06-19,-0.009807727295924726
2006-06-20,-0.005656707459405832
2006-06-21,0.028212896362293335
2006-06-22,0.005063343756360544
2006-06-23,-0.0025280124639036478
2006-06-26,-0.0019716855011533366
2006-06-27,-0.029957120560851647
2006-06-28,-0.0029716848960536107
2006-06-29,0.030414696590598332
2006-06-30,0.004354782852500004
2006-07-03,0.003223592616267418
2006-07-05,-0.01434816451002221
2006-07-06,-0.005917983658979015
2006-07-07,-0.024241169120051875
2006-07-10,-0.02529880962961054
2006-07-11,0.01710748735521134
2006-07-12,-0.02134367150989637
2006-07-13,-0.015273461076176883
2006-07-14,-0.01064706811657608
2006-07-17,-0.004360329889214484
2006-07-18,-0.006677756713286891
2006-07-19,0.03979183670583833
2006-07-20,-0.007430626917516304
2006-07-21,-0.028786085314098056
2006-07-24,0.02838199915248778
2006-07-25,0.021656503472082738
2006-07-26,0.00037199331115614267
2006-07-27,-0.008517361876232466
2006-07-28,0.030271596933862874
2006-07-31,0.0033263202249856757
