,daily_return
2/8/10,-0.005352674
2/9/10,0.007802625
2/10/10,0.003105285
2/11/10,0.017624124
2/12/10,0.00468378
2/16/10,0.015933844
2/17/10,0.006374348
2/18/10,0.00224867
2/19/10,0.002981952
2/22/10,-0.001800248
2/23/10,-0.014583705
2/24/10,0.01494026
2/25/10,-0.001379418
2/26/10,-0.002584711
3/1/10,0.025149127
3/2/10,0.013559829
3/3/10,-0.003322344
3/4/10,0.003417542
3/5/10,0.01732722
3/8/10,-0.004649592
3/9/10,0.006943534
3/10/10,0.011759218
3/11/10,-0.000890106
3/12/10,-0.002680081
3/15/10,-0.007032068
3/16/10,0.012675701
3/17/10,0.011752342
3/18/10,-0.005513302
3/19/10,-0.010613617
3/22/10,0.016989943
3/23/10,0.012647351
3/24/10,-0.01411827
3/25/10,-0.003717119
3/26/10,1.81E-05
3/29/10,0.001564342
3/30/10,-0.001194179
3/31/10,-0.008989551
4/1/10,0.002436303
4/5/10,0.019067131
4/6/10,-0.003429749
4/7/10,0.003509839
4/8/10,-0.004387523
4/9/10,0.004804983
4/12/10,0.01066004
4/13/10,0.004602826
4/14/10,0.019932768
4/15/10,0.005223713
4/16/10,-0.019863628
4/19/10,0.000180915
4/20/10,0.007600847
4/21/10,-0.001505388
4/22/10,0.001014266
4/23/10,0.001842437
4/26/10,0.00374335
4/27/10,-0.032964889
4/28/10,0.000509962
4/29/10,0.011518285
4/30/10,-0.031787535
5/3/10,0.025801208
5/4/10,-0.029624983
5/5/10,-0.019021385
5/6/10,-0.031238546
5/7/10,-0.022348058
5/10/10,0.05494576
5/11/10,-0.002315982
5/12/10,0.028328503
5/13/10,-0.012726052
5/14/10,-0.02336945
5/17/10,0.005541273
5/18/10,-0.020500251
5/19/10,-0.006438768
5/20/10,-0.039541829
5/21/10,0.017318477
5/24/10,-0.01141524
5/25/10,-0.001859505
5/26/10,-0.000467617
5/27/10,0.039895246
5/28/10,-0.013986708
6/1/10,-0.021363235
6/2/10,0.031752628
6/3/10,0.013083393
6/4/10,-0.040898405
6/7/10,-0.027667429
6/8/10,-0.004849328
6/9/10,-0.005790227
6/10/10,0.031301544
6/11/10,0.016332596
6/14/10,0.003313211
6/15/10,0.029269634
6/16/10,0.008639423
6/17/10,-0.000277697
6/18/10,0.00117964
6/21/10,-0.011277501
6/22/10,-0.014422024
6/23/10,-0.002971511
6/24/10,-0.018608512
6/25/10,0.005070702
6/28/10,0.001193073
6/29/10,-0.040269539
6/30/10,-0.015868402
7/1/10,-0.003201309
7/2/10,-0.006505337
7/6/10,-0.003392765
7/7/10,0.041982615
7/8/10,0.006036781
7/9/10,0.011467062
7/12/10,0.001258805
7/13/10,0.029053787
7/14/10,0.004414831
7/15/10,-0.003169912
7/16/10,-0.033589956
7/19/10,0.014039935
7/20/10,0.008257696
7/21/10,-0.016312932
7/22/10,0.031424872
7/23/10,0.020817704
7/26/10,0.013253002
7/27/10,-0.002676836
7/28/10,-0.017768552
7/29/10,-0.006812589
7/30/10,0.003436487
8/2/10,0.016733689
8/3/10,0.006720406
8/4/10,0.011160489
8/5/10,-0.002846308
8/6/10,0.00111533
8/9/10,0.004501516
8/10/10,-0.01865931
8/11/10,-0.036605885
8/12/10,-0.011120419
8/13/10,-0.007809947
8/16/10,0.009303679
8/17/10,0.011627669
8/18/10,0.004181584
8/19/10,-0.016201062
8/20/10,0.009068137
8/23/10,-0.012164922
8/24/10,-0.011077019
8/25/10,0.011512774
8/26/10,-0.013793631
8/27/10,0.022068416
8/30/10,-0.017960246
8/31/10,-0.010600734
9/1/10,0.037153142
9/2/10,0.011356004
9/3/10,0.022230896
9/7/10,-0.016684806
9/8/10,0.014628995
9/9/10,-0.002454359
9/10/10,-0.006913768
9/13/10,0.033510098
9/14/10,0.008606824
9/15/10,0.001312231
9/16/10,-0.002218731
9/17/10,0.007736704
9/20/10,0.020459082
9/21/10,-0.003668485
9/22/10,-0.018108762
9/23/10,-0.001409704
9/24/10,0.032722933
9/27/10,0.00071385
9/28/10,0.01297211
9/29/10,0.007544829
9/30/10,-0.008795908
10/1/10,0.002447503
10/4/10,-0.012083729
10/5/10,0.023672485
10/6/10,-0.020312502
10/7/10,0.003514435
10/8/10,0.00516714
10/11/10,0.001630805
10/12/10,0.008870345
10/13/10,0.010154933
10/14/10,-0.000355868
10/15/10,0.011707889
10/18/10,0.00011587
10/19/10,-0.025114467
10/20/10,0.00930946
10/21/10,-0.000749426
10/22/10,0.015416836
10/25/10,0.009611413
10/26/10,0.0012457
10/27/10,0.008665561
10/28/10,-0.005815305
10/29/10,0.008690099
11/1/10,-0.002211175
11/2/10,0.012933799
11/3/10,0.006028387
11/4/10,0.015521169
11/5/10,0.004279644
11/8/10,0.003161392
11/9/10,-0.007900786
11/10/10,0.002966303
11/11/10,-0.009705116
11/12/10,-0.010707868
11/15/10,-0.002449952
11/16/10,-0.01890812
11/17/10,0.002128131
11/18/10,0.020995883
11/19/10,0.007085968
11/22/10,0.011605682
11/23/10,-0.011087906
11/24/10,0.021124522
11/26/10,-0.004514572
11/29/10,-0.004987273
11/30/10,-0.012613305
12/1/10,0.024984894
12/2/10,0.018391132
12/3/10,0.006703965
12/6/10,0.003098569
12/7/10,0.001726581
12/8/10,0.008733901
12/9/10,0.006811803
12/10/10,0.006892104
12/13/10,-0.005423553
12/14/10,-0.009766306
12/15/10,-0.004166368
12/16/10,0.009273429
12/17/10,0.006553663
12/20/10,0.003383531
12/21/10,0.005915617
12/22/10,-0.001542053
12/23/10,-0.002429596
12/27/10,0.004909578
12/28/10,-0.002737081
12/29/10,-0.00064309
12/30/10,-6.67E-05
12/31/10,-0.006893686
1/3/11,0.013909243
1/4/11,-0.010957863
1/5/11,0.012887196
1/6/11,0.010068459
1/7/11,-0.004159328
1/10/11,0.010873876
1/11/11,0.010978815
1/12/11,0.021007965
1/13/11,-0.001641047
1/14/11,0.01588486
1/18/11,0.000559612
1/19/11,-0.027161383
1/20/11,-0.014497972
1/21/11,-0.00775964
1/24/11,0.012938703
1/25/11,-0.007344693
1/26/11,0.013884143
1/27/11,0.013423733
1/28/11,-0.027508584
1/31/11,0.011696773
2/1/11,0.029948884
2/2/11,0.001107921
2/3/11,-0.000679284
2/4/11,0.025825746
2/7/11,0.001803766
2/8/11,0.004624842
2/9/11,0.002724424
2/10/11,0.010010978
2/11/11,0.01599894
2/14/11,0.022397133
2/15/11,-0.009307132
2/16/11,0.016711788
2/17/11,0.001349369
2/18/11,-0.00976166
2/22/11,-0.043082651
2/23/11,-0.018977408
2/24/11,0.017663221
2/25/11,0.029655799
2/28/11,-0.008966028
3/1/11,-0.021693766
3/2/11,0.014715288
3/3/11,0.025446133
3/4/11,-0.007475947
3/7/11,-0.02813314
3/8/11,0.008175111
3/9/11,-0.021911132
3/10/11,-0.029622264
3/11/11,0.008579334
3/14/11,-0.009373594
3/15/11,-0.007298699
3/16/11,-0.018731212
3/17/11,0.008015957
3/18/11,0.000277423
3/21/11,0.024419999
3/22/11,-0.003164395
3/23/11,0.014177277
3/24/11,0.025227568
3/25/11,0.002713433
3/28/11,-0.000122584
3/29/11,0.003590859
3/30/11,0.010746232
3/31/11,-0.001479635
4/1/11,-0.000369862
4/4/11,-0.008939444
4/5/11,0.005802716
4/6/11,0.007322038
4/7/11,-0.0077635
4/8/11,0.000569705
4/11/11,-0.012421962
4/12/11,-0.010611919
4/13/11,0.010719303
4/14/11,0.002267953
4/15/11,0.004174462
4/18/11,-0.010935383
4/19/11,0.005752824
4/20/11,0.037853194
4/21/11,0.009688695
4/25/11,0.00011389
4/26/11,0.005962153
4/27/11,0.006612321
4/28/11,-0.00737325
4/29/11,-0.006761175
5/2/11,-0.011825298
5/3/11,-0.013227978
5/4/11,-0.004651533
5/5/11,-0.001790909
5/6/11,0.009379407
5/9/11,0.011835572
5/10/11,0.017173297
5/11/11,-0.014855135
5/12/11,0.016071692
5/13/11,-0.019069889
5/16/11,-0.026085983
5/17/11,-0.012867459
5/18/11,0.021060904
5/19/11,0.0050051
5/20/11,-0.00020489
5/23/11,-0.020643011
5/24/11,-0.009324731
5/25/11,0.017405202
5/26/11,0.017494469
5/27/11,0.006727524
5/31/11,0.010919851
6/1/11,-0.022366919
6/2/11,0.002514939
6/3/11,-0.016793449
6/6/11,-0.01424588
6/7/11,0.006891491
6/8/11,-0.018429075
6/9/11,0.004646827
6/10/11,-0.016866506
6/13/11,-0.007786603
6/14/11,0.019541314
6/15/11,-0.019689412
6/16/11,-0.005872422
6/17/11,-0.005644514
6/20/11,0.006013201
6/21/11,0.030917588
6/22/11,-0.000369947
6/23/11,0.013108406
6/24/11,-0.01040044
6/27/11,0.013885458
6/28/11,0.009119483
6/29/11,0.002577072
6/30/11,0.016450624
7/1/11,0.018150104
