gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
001602,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMGEN INC,AMGN,031162100,0000318154,2836,325414
001690,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLE INC,AAPL,037833100,0000320193,3663,334220
001704,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLIED MATERIALS INC,AMAT,038222105,0000006951,3559,333242
006008,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,INTEL CORP,INTC,458140100,0000050863,3674,334413
008253,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACCAR INC,PCAR,693718108,0000075362,3711,336120
008402,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PAYCHEX INC,PAYX,704326107,0000723531,8721,541214
012141,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MICROSOFT CORP,MSFT,594918104,0000789019,7372,511210
012540,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADOBE INC,ADBE,00724F101,0000796343,7372,511210
020779,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CISCO SYSTEMS INC,CSCO,17275R102,0000858877,3576,334210
022325,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,XILINX INC,XLNX,983919101,0000743988,3674,334413
024800,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,QUALCOMM INC,QCOM,747525103,0000804328,3674,334413
029028,01,000208,19950101,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COSTCO WHOLESALE CORP,COST,22160K105,0000909832,5399,452910
004016,01,000208,19950101,19950126,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOLLAR GENERAL CORP,DG,256669102,0000029534,5331,452990
006944,01,000208,19950101,19950126,Nasdaq 100,LGCAP,I0028,,,EXCHG,MAGMA POWER CO,MGMA.,559194105,0000355878,4991,221119
013506,01,000208,19950101,19950212,Nasdaq 100,LGCAP,I0028,,,EXCHG,QVC INC,0189A,747262103,0001254699,5961,454113
009477,01,000208,19950101,19950226,Nasdaq 100,LGCAP,I0028,,,EXCHG,SCIMED LIFE SYSTEMS INC,SMLS,808614101,0000087743,3841,339112
009815,01,000208,19950101,19950305,Nasdaq 100,LGCAP,I0028,,,EXCHG,SONOCO PRODUCTS CO,SON,835495102,0000091767,2650,322219
006815,01,000208,19950101,19950704,Nasdaq 100,LGCAP,I0028,,,EXCHG,LOTUS DEVELOPMENT CORP,LOTS.,545700106,0000711761,7372,511210
004100,01,000208,19950101,19950718,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEGENT CORP,LGNT,52465R109,0000845607,7372,511210
002443,01,000208,19950101,19950817,Nasdaq 100,LGCAP,I0028,,,EXCHG,BRUNOS INC,BRNO20,116881202,0000014920,5411,445110
008283,01,000208,19950101,19950926,Nasdaq 100,LGCAP,I0028,,,EXCHG,PACIFIC TELECOM INC,PTCM,694876103,0000096977,4813,513310
006734,01,000208,19950101,19951002,Nasdaq 100,LGCAP,I0028,,,EXCHG,LIN BROADCASTING,LINB,532763109,0000059498,4812,513330
008596,01,000208,19950101,19951105,Nasdaq 100,LGCAP,I0028,,,EXCHG,PIONEER HI-BRED INTERNATIONL,PHB.1,723686101,0000078716,0100,111150
007609,01,000208,19950101,19951126,Nasdaq 100,LGCAP,I0028,,,EXCHG,MULTIMEDIA INC,MMEDC,62545K107,0000068813,4841,513210
009168,01,000208,19950101,19951126,Nasdaq 100,LGCAP,I0028,,,EXCHG,CALIBER SYSTEMS INC,CBB.1,129894101,0000701708,4210,492110
