,daily_return
2/5/10,-0.003721981
2/8/10,-0.008612202
2/9/10,0.009945915
2/10/10,0.018672397
2/11/10,0.018019626
2/12/10,0.016691417
2/16/10,0.01158875
2/17/10,0.003616552
2/18/10,0.008739662
2/19/10,0.008742435
2/22/10,-0.004825034
2/23/10,-0.016794335
2/24/10,0.017387362
2/25/10,0.001434497
2/26/10,-0.001173161
3/1/10,0.023568071
3/2/10,0.004848306
3/3/10,0.000450191
3/4/10,0.005769806
3/5/10,0.016800203
3/8/10,0.000450922
3/9/10,0.0034187
3/10/10,0.012095029
3/11/10,0.001149265
3/12/10,-0.000906778
3/15/10,-0.005145228
3/16/10,0.010124957
3/17/10,0.006614954
3/18/10,-0.000844867
3/19/10,-0.012082194
3/22/10,0.012894144
3/23/10,0.012721499
3/24/10,-0.011030345
3/25/10,-0.002964242
3/26/10,-0.00184007
3/29/10,0.002765522
3/30/10,0.003302317
3/31/10,-0.006496273
4/1/10,0.002355793
4/5/10,0.019507419
4/6/10,0.004462304
4/7/10,0.000163394
4/8/10,-0.002829754
4/9/10,0.007135824
4/12/10,0.005961315
4/13/10,0.001806334
4/14/10,0.029800842
4/15/10,0.001379641
4/16/10,-0.01295532
4/19/10,-0.00526944
4/20/10,0.015263938
4/21/10,0.001196192
4/22/10,0.009961389
4/23/10,0.008570841
4/26/10,0.001587259
4/27/10,-0.022609556
4/28/10,0.002064536
4/29/10,0.017451786
4/30/10,-0.031080812
5/3/10,0.021558257
5/4/10,-0.033765444
5/5/10,-0.014626119
5/6/10,-0.033863598
5/7/10,-0.025777583
5/10/10,0.055716659
5/11/10,0.00020349
5/12/10,0.027239145
5/13/10,-0.011413861
5/14/10,-0.026934429
5/17/10,0.006004511
5/18/10,-0.020097277
5/19/10,-0.005884908
5/20/10,-0.035723042
5/21/10,0.01623539
5/24/10,-0.009811228
5/25/10,-2.97E-05
5/26/10,-0.00077364
5/27/10,0.044032665
5/28/10,-0.014286898
6/1/10,-0.02404554
6/2/10,0.026515887
6/3/10,0.016615957
6/4/10,-0.041810224
6/7/10,-0.028424715
6/8/10,-0.002204931
6/9/10,-0.00230153
6/10/10,0.032137277
6/11/10,0.015708546
6/14/10,0.001501988
6/15/10,0.033343895
6/16/10,0.003340602
6/17/10,0.004400247
6/18/10,0.002942378
6/21/10,-0.009782148
6/22/10,-0.016942604
6/23/10,-0.002014598
6/24/10,-0.020837087
6/25/10,0.005318252
6/28/10,0.000645889
6/29/10,-0.042855258
6/30/10,-0.015868402
7/1/10,-0.003201309
7/2/10,-0.006505337
7/6/10,-0.003392765
7/7/10,0.041982615
7/8/10,0.006036781
7/9/10,0.011467062
7/12/10,0.001258805
7/13/10,0.029053787
7/14/10,0.004414831
7/15/10,-0.003169912
7/16/10,-0.033589956
7/19/10,0.014039935
7/20/10,0.008257696
7/21/10,-0.016312932
7/22/10,0.031424872
7/23/10,0.020817704
7/26/10,0.013253002
7/27/10,-0.002676836
7/28/10,-0.017768552
7/29/10,-0.006812589
7/30/10,-0.001617234
8/2/10,0.015861007
8/3/10,-0.00324778
8/4/10,0.015019477
8/5/10,-0.006295759
8/6/10,-0.001506376
8/9/10,0.005584539
8/10/10,-0.02224872
8/11/10,-0.035917342
8/12/10,-0.01370993
8/13/10,-0.006809189
8/16/10,0.005663242
8/17/10,0.015668912
8/18/10,0.004962614
8/19/10,-0.014261429
8/20/10,0.007258112
8/23/10,-0.012045881
8/24/10,-0.01529092
8/25/10,0.009958107
8/26/10,-0.009466306
8/27/10,0.021300901
8/30/10,-0.018495904
8/31/10,-0.006602392
9/1/10,0.034870773
9/2/10,0.015188885
9/3/10,0.017452063
9/7/10,-0.015384826
9/8/10,0.006782293
9/9/10,0.000834055
9/10/10,-0.003413735
9/13/10,0.027985263
9/14/10,0.007979092
9/15/10,0.001593344
9/16/10,0.002169543
9/17/10,0.005082773
9/20/10,0.018672602
9/21/10,-0.002627143
9/22/10,-0.013171888
9/23/10,9.85E-05
9/24/10,0.031872797
9/27/10,-0.000904642
9/28/10,0.008134417
9/29/10,0.004972688
9/30/10,-0.008795908
10/1/10,0.002447503
10/4/10,-0.012083729
10/5/10,0.023672485
10/6/10,-0.020312502
10/7/10,0.003514435
10/8/10,0.00516714
10/11/10,0.001630805
10/12/10,0.008870345
10/13/10,0.010154933
10/14/10,-0.000355868
